"AirtableName","AirtableParent","Action","Confidence","ClosestSalesforceAccount","ItsParentInSalesforce","AlreadyMatchedTo","WhyThisCandidate","Note","BlocksOpportunities","BlocksPartnerAccounts","BlocksApplications","BlocksContacts","BlocksMeetings","TotalBlocked","MarketSegment","DecisionPleaseFillIn","AirtableRecordId"
"United States Secret Service","Department of Homeland Security","Align the names","High","U.S. Secret Service","Department of Homeland Security","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","1","0","0","0","1","2","Defense","","recfg3izSmJYEQBTk"
"American Samoa","State and Local Government","Check the candidate","Possible","Territory of American Samoa","(none)","","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","State & Local","","rec8yElT8TaydLZYz"
"Bureau of Budget and Planning","Department of State","Check the candidate","Possible","Budget and Planning - DOS","Under Secretary for Management","","75% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","Defense","","recEID4l5lFPf4PpG"
"Bureau of Conflict and Stabilization Operations","Department of State","Check the candidate","Possible","Conflict & Stabilization Operations","Under Secretary for Civilian Security, Democracy, and Human Rights","","89% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","Defense","","recDmj2KEg03BbiAo"
"Bureau of Diplomatic Security","Department of State","Check the candidate","Possible","Diplomatic Security","Under Secretary for Management","","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","Defense","","rec9O9ooRLkggIyC5"
"Bureau of Economic and Business Affairs","Department of State","Check the candidate","Possible","Economic & Business Affairs","Under Secretary for Economic Growth, Energy, and Environment","","89% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","Defense","","recqHR0cR8XENC4F8"
"Bureau of Energy Resources","Department of State","Check the candidate","Possible","Energy Resources","Under Secretary for Economic Growth, Energy, and Environment","","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","Defense","","recnadNs8JzrpPCHv"
"Bureau of Global Talent Management","Department of State","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","1","0","0","0","0","1","Defense","","reca9eRg2LGY7Q58t"
"Bureau of Medical Services","Department of State","Check the candidate","Possible","Medical Services","Under Secretary for Management","","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","Defense","","recAnzlG39G4bANWu"
"Bureau of Oceans and International Environmental and Scientific Affairs","Department of State","Check the candidate","Possible","Oceans and Int l Environmental and Scientific Affairs","Under Secretary for Economic Growth, Energy, and Environment","","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","Defense","","recpFI779YVON05Qf"
"Bureau of Overseas Building Operations","Department of State","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","1","0","0","0","0","1","Defense","","recfkbTRu97EXnqXk"
"Bureau of the Comptroller and Global Financial Services","Department of State","Check the candidate","Possible","Comptroller, Global Financial Services","Under Secretary for Management","","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","Defense","","recRGgRPD88p1UuJL"
"Conference of State Bank Supervisors","","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","1","0","0","0","0","1","State & Local","","reccBNvFir3oYLN6J"
"Council of Economic Advisers","The Executive Office of the President","Check the candidate","Possible","National Economic Council","Executive Office of the President","","67% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","Finance & Regulation","","recv0E8EB0OwCifoI"
"DC Court Services and Offender Supervision Agency","","Check the candidate","Possible","Court Services And Offender Supervision Agency","(none)","Court Services And Offender Supervision Agency","100% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Court Services And Offender Supervision Agency'.)","1","0","0","0","0","1","Defense","","recED7NXwBdseQ4Ku"
"DC Pre-trial Services","","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","1","0","0","0","0","1","Defense","","recxup2VSDjYvDvrF"
"Directorate for Technology","","Check the candidate","Possible","Directorate for Technology, Innovation, and Partnerships","National Science Foundation","Directorate for Technology, Innovation, and Partnerships","67% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Directorate for Technology, Innovation, and Partnerships'.)","1","0","0","0","0","1","Infrastructure","","rectdEqyUpHzPAzbt"
"Federal Judiciary","","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","1","0","0","0","0","1","Defense","","recnoPZtrYyBpRn1K"
"Guam","State and Local Government","Check the candidate","Possible","Territory of Guam","(none)","","67% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","State & Local","","recWFxnWcrI0Allbx"
"Harry S Truman Scholarship Foundation","","Align the names","High","Harry S. Truman Scholarship Foundation","(none)","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","1","0","0","0","0","1","Benefits","","reck1KjwIQmIx8BDb"
"Healthcare and Insurance","Office of Personnel Management","Align the names","High","Healthcare & Insurance","Office of Personnel Management","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","0","0","0","0","1","1","Finance & Regulation","","recHGCpIiaXmy6u56"
"Japan-United States Friendship Commission","","Align the names","High","Japan-U.S. Friendship Commission","(none)","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","1","0","0","0","0","1","Defense","","recY9672fi4uPNjt8"
"John F. Kennedy Center for the Performing Arts","","Check the candidate","Possible","J. F. Kennedy Center For The Performing Arts","(none)","","91% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","Infrastructure","","rec9C3kE1erCm4aZW"
"Northern Mariana Islands","State and Local Government","Check the candidate","Possible","Territory of Northern Mariana Islands","(none)","","86% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","State & Local","","recxWFflseXi8s72s"
"Office of Foreign Assistance","Department of State","Check the candidate","Possible","Office of U.S. Foreign Assistance","Deputy Secretary of State (D-MR)","","75% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","Defense","","recoG5OqixAi1LXTu"
"Office of the Undersecretary for Political Affairs","Department of State","Check the candidate","Possible","Office of the Undersecretary for Management","Department of State","Office of the Undersecretary for Management","67% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Office of the Undersecretary for Management'.)","1","0","0","0","0","1","Defense","","recljbZfwsRVDBTmx"
"Office of the Undersecretary for Public Diplomacy and Public Affairs","Department of State","Check the candidate","Possible","Office of Public and Intergovernmental Affairs","Department of Veterans Affairs","","77% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","Defense","","recberEJtFW8eouIE"
"Puerto Rico","State and Local Government","Check the candidate","Possible","Territory of Puerto Rico","(none)","Territory of Puerto Rico","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Territory of Puerto Rico'.)","1","0","0","0","0","1","State & Local","","recgIk3lWmbKnduTT"
"Recreation.gov","","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","0","0","0","0","1","1","Infrastructure","","recJNjbx5qAEvH1F4"
"Special Courts: United States Court of Appeals for the Armed Forces","Federal Judiciary","Check the candidate","Possible","U.S. Court of Appeals for the Armed Forces","U.S. Supreme Court","","88% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","Defense","","recxnbbLXFFqQrfGo"
"Special Courts: United States Court of Appeals for Veterans Claims","Federal Judiciary","Check the candidate","Possible","U.S. Court of Appeals for Veterans Claims","U.S. Court of Appeals for the Federal Circuit","","88% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","Defense","","rec9RiNfxnmMdpFRv"
"Special Courts: United States Court of Federal Claims","Federal Judiciary","Check the candidate","Possible","U.S. Court of Federal Claims","U.S. Court of Appeals for the Federal Circuit","","83% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","Defense","","recjrEB4y7oFYBM20"
"Special Courts: United States Tax Court","Federal Judiciary","Check the candidate","Possible","U.S. Tax Court | US Tax Court","(none) | U.S. Supreme Court","U.S. Tax Court | US Tax Court","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'U.S. Tax Court | US Tax Court'.)","1","0","0","0","0","1","Finance & Regulation","","rec3f05eVwFfswnOq"
"The Supreme Court of the United States","Federal Judiciary","Check the candidate","Possible","U.S. Supreme Court","(none)","U.S. Supreme Court","100% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'U.S. Supreme Court'.)","1","0","0","0","0","1","Defense","","rec2zHGPBiRvXlDtX"
"U.S. Commission on Civil Rights","","Check the candidate","Possible","Commission On Civil Rights","(none)","","75% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","Defense","","recDor4mmP1bn99Mz"
"U.S. Digital Service","","Check the candidate","Possible","U.S. Marshals Service","Department of Justice","U.S. Marshals Service","75% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'U.S. Marshals Service'.)","1","0","0","0","0","1","Infrastructure","","recctE33YubXIKT3F"
"U.S. Interagency Council on Homelessness","","Check the candidate","Possible","Interagency Council on Homelessness","(none)","","75% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","1","0","0","0","0","1","Infrastructure","","recOMB2b8Z2Tp05Ch"
"U.S. Marine Corps","Department of Defense","Same name already taken","High","United States Marine Corps","Department of the Navy","United States Marine Corps","Same name, different punctuation or abbreviation","The Salesforce Account is already matched to the Airtable row 'United States Marine Corps'. If that is the same organisation, merge these two Airtable rows. If this is a genuinely different office, it needs its own Salesforce Account.","1","0","0","0","0","1","Defense","","recQdCcnlYiUtLmZ4"
"U.S. Patent and Trademark Office","Department of Commerce","Align the names","High","United States Patent And Trademark Office","Department of Commerce","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","1","0","0","0","0","1","Infrastructure","","recnNI6qCTSrC05jH"
"Udall Foundation","","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","1","0","0","0","0","1","Benefits","","recA0RxfQZXblmfkA"
"United States African Development Foundation","","Align the names","High","U.S. African Development Foundation","(none)","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","1","0","0","0","0","1","Defense","","recvuRSnQ6Yisr15S"
"United States Arctic Research Commission","","Align the names","High","U.S. Arctic Research Commission","(none)","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","1","0","0","0","0","1","Infrastructure","","recTkDL49RwvuvGtA"
"United States Botanic Garden","Legislative Branch","Align the names","High","U.S. Botanic Garden","Architect of the Capitol","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","1","0","0","0","0","1","Infrastructure","","recTm3zvM6PXJueZ8"
"United States Coast Guard","Department of Homeland Security","Align the names","High","U.S. Coast Guard","Department of Homeland Security","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","0","0","0","0","1","1","Defense","","recGSAzat8JVje4JN"
"United States Courts of Appeals","Federal Judiciary","Check the candidate","Possible","Lower Courts: United States Courts of Appeals","Judicial Conference of the United States","Lower Courts: United States Courts of Appeals","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Lower Courts: United States Courts of Appeals'.)","1","0","0","0","0","1","Defense","","recT1rulu03P2p0qc"
"United States Holocaust Memorial Museum","","Align the names","High","U.S. Holocaust Memorial Museum","(none)","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","1","0","0","0","0","1","Infrastructure","","recNn1ODT01vJXUre"
"United States Immigration and Customs Enforcement","Department of Homeland Security","Align the names","High","U.S. Immigration And Customs Enforcement","Department of Homeland Security","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","1","0","0","0","0","1","Defense","","recS4S6BYVx5a9Jbw"
"United States Virgin Islands","State and Local Government","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","1","0","0","0","0","1","State & Local","","reccouuBTMQSBuZqz"
"Amtrak","","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","0","0","0","0","0","0","Infrastructure","","recZk2Mvn4TtpYk0d"
"Barry Goldwater Scholarship and Excellence in Education Program","","Check the candidate","Possible","Barry M. Goldwater Scholarship and Excellence in Education Program","(none)","","100% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Benefits","","rec6WAhFYktr4pCIJ"
"Bureau of African Affairs","Department of State","Check the candidate","Possible","African Affairs","Under Secretary for Political Affairs","","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","recvzQL1kpSd53hMH"
"Bureau of Alcohol, Tobacco, Firearms and Explosives","Department of Justice","Align the names","High","Bureau of Alcohol, Tobacco, Firearms, and Explosives","Department of Justice","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","0","0","0","0","0","0","Defense","","rec9wXxJ37v9tLJCe"
"Bureau of Arms Control, Verification, and Compliance","Department of State","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","0","0","0","0","0","0","Defense","","recBW1sr9ScHJXcpk"
"Bureau of Democracy, Human Rights and Labor","Department of State","Check the candidate","Possible","Democracy, Human Rights, and Labor","Under Secretary for Civilian Security, Democracy, and Human Rights","","91% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","reczhWe9CYPGS99g7"
"Bureau of East Asian and Pacific Affairs","Department of State","Check the candidate","Possible","East Asian and Pacific Affairs","Under Secretary for Political Affairs","","91% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","recft7st0B5e3cxKP"
"Bureau of Education and Cultural Affairs","Department of State","Check the candidate","Possible","Educational and Cultural Affairs","Under Secretary for Arms Control and International Security","","67% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","recAHDUrsyqQHUiiH"
"Bureau of European and Eurasian Affairs","Department of State","Check the candidate","Possible","European and Eurasian Affairs","Under Secretary for Political Affairs","","89% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","recAdEhlF9kkKU4mW"
"Bureau of International Narcotics and Law Enforcement","Department of State","Check the candidate","Possible","International Narcotics and Law Enforcement","Under Secretary for Civilian Security, Democracy, and Human Rights","","91% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","recGJJzKvXL2qt5YS"
"Bureau of Legislative Affairs","Department of State","Check the candidate","Possible","Legislative Affairs","Department of State","","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","recYxDEx46zdjqPhc"
"Bureau of Near Eastern Affairs","Department of State","Check the candidate","Possible","Near Eastern Affairs","Under Secretary for Political Affairs","","86% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","recxhITizkJG2bT51"
"Bureau of Political and Military Affairs","Department of State","Check the candidate","Possible","Political-Military Affairs","Under Secretary for Arms Control and International Security","","75% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","recSlXzs6NRZWwLIu"
"Bureau of Population, Refugees and Migration","Department of State","Check the candidate","Possible","Population, Refugees, and Migration","Under Secretary for Civilian Security, Democracy, and Human Rights","","89% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","reczskSIzVGhu7sko"
"Bureau of South and Central Asian Affairs","Department of State","Check the candidate","Possible","South and Central Asian Affairs","Under Secretary for Political Affairs","","91% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","recylrBm3aqVliiyj"
"Bureau of Western Hemisphere Affairs","Department of State","Check the candidate","Possible","Western Hemisphere Affairs","Under Secretary for Political Affairs","","86% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","recP5Sk05dMB5EXoS"
"Central Office and Presidential Libraries","National Archives and Records Administration","Check the candidate","Possible","Office of Presidential Libraries","Office of the Chief Operating Officer - NARA","","75% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Infrastructure","","recbmYc1uQG5uQ0Uv"
"Chief Digital and Artificial Intelligence Office (CDAO)","Department of Defense","Check the candidate","Possible","Chief Digital and Artificial Intelligence Office","Department of Defense","Chief Digital and Artificial Intelligence Office","92% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Chief Digital and Artificial Intelligence Office'.)","0","0","0","0","0","0","Defense","","rec802WasnesQnDG5"
"Congressional, Legislative & Intergovernmental Affairs","Office of Personnel Management","Align the names","High","Congressional, Legislative, and Intergovernmental Affairs","Office of Personnel Management","","Same name, different punctuation or abbreviation","Same organisation, spelled differently, and the Salesforce Account is unclaimed. Align the two names and it will match on the next run.","0","0","0","0","0","0","Finance & Regulation","","reczL70MF28Q03bj4"
"Customs and Border Protection","","Check the candidate","Possible","U.S. Customs And Border Protection","Department of Homeland Security","","80% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Defense","","recVBrSLlbSF4uxkY"
"DEEOIC","","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","0","0","0","0","0","0","Benefits","","recqWuCPX1ZBQc2Je"
"Democracy","","Create or drop","","","","","","No Salesforce Account resembles this name. Either an Account needs creating, or confirm this row can stay unmigrated.","0","0","0","0","0","0","Defense","","rece56LzWEcmeFZpG"
"Deputy Commissioner for Analytics","","Check the candidate","Possible","Deputy Commissioner for Systems","Social Security Administration","Deputy Commissioner for Systems","75% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Deputy Commissioner for Systems'.)","0","0","0","0","0","0","Benefits","","recDf54IPTyBsldIm"
"Deputy Commissioner for Analytics, Review, and Oversight","Social Security Administration","Check the candidate","Possible","Analytics, Review, and Oversight","Social Security Administration","","73% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Benefits","","recwo5asa8vrbHmEt"
"Deputy Commissioner for Budget, Finance, and Management","Social Security Administration","Check the candidate","Possible","Budget, Finance, and Management","Social Security Administration","","73% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'.","0","0","0","0","0","0","Benefits","","recXie0rgym6591Dk"
"Deputy Commissioner for Communications","Social Security Administration","Check the candidate","Possible","Deputy Commissioner for Systems","Social Security Administration","Deputy Commissioner for Systems","75% of words in common - NOT confirmed, check before acting","A Salesforce Account has a similar name but this is a guess, not a match. Confirm it is the same body before doing anything; if not, treat as 'create or drop'. (That candidate is already matched to 'Deputy Commissioner for Systems'.)","0","0","0","0","0","0","Benefits","","reczmBLXqEY0XOiiy"
